Item_Name,Item_Description,Start_Price,Duration
1500,Gaming PC,Gaming Desktop Computer,8s
Gaming PC,Gaming Desktop Computer,1500,8s
Gaming Desktop Computer,1500,Gaming PC,8s
1500,Gaming PC,Gaming Desktop Computer,8s
Gaming PC,Gaming Desktop Computer,1500,8s
Gaming Desktop Computer,1500,Gaming PC,8s
1500,Gaming PC,Gaming Desktop Computer,8s
Gaming PC,Gaming Desktop Computer,1500,8s
Gaming Desktop Computer,1500,Gaming PC,8s
1500,Gaming PC,Gaming Desktop Computer,8s
Gaming PC,Gaming Desktop Computer,1500,8s
Gaming Desktop Computer,1500,Gaming PC,8s
1500,Gaming PC,Gaming Desktop Computer,8s
Gaming PC,Gaming Desktop Computer,1500,8s
Gaming Desktop Computer,1500,Gaming PC,8s
1500,Gaming PC,Gaming Desktop Computer,8s
Gaming PC,Gaming Desktop Computer,1500,8s
Gaming Desktop Computer,1500,Gaming PC,8s
NikonD750,500,Camera,5s
NikonD750,500,Camera,5s
500,Camera,NikonD750,5s
500,Camera,NikonD750,5s
Camera,NikonD750,500,5s
NikonD750,500,Camera,5s
500,Camera,NikonD750,5s
500,Camera,NikonD750,5s
